from,to,edge_type,edge_group,weight_n,weight_rate
panethnic_hub,civil rights,hub_phrase,Panethnic Hub,102,0.067864
ethnic_hub,civil rights,hub_phrase,Ethnic Hub,109,0.073698
panethnic_hub,bilingual education,hub_phrase,Panethnic Hub,73,0.04857
ethnic_hub,bilingual education,hub_phrase,Ethnic Hub,43,0.029074
panethnic_hub,executive director,hub_phrase,Panethnic Hub,48,0.031936
ethnic_hub,executive director,hub_phrase,Ethnic Hub,56,0.037863
panethnic_hub,economic development,hub_phrase,Panethnic Hub,50,0.033267
ethnic_hub,economic development,hub_phrase,Ethnic Hub,53,0.035835
panethnic_hub,legal defense,hub_phrase,Panethnic Hub,36,0.023952
ethnic_hub,legal defense,hub_phrase,Ethnic Hub,63,0.042596
panethnic_hub,white house,hub_phrase,Panethnic Hub,56,0.037259
ethnic_hub,white house,hub_phrase,Ethnic Hub,29,0.019608
panethnic_hub,high school,hub_phrase,Panethnic Hub,32,0.021291
ethnic_hub,high school,hub_phrase,Ethnic Hub,50,0.033807
panethnic_hub,health education,hub_phrase,Panethnic Hub,43,0.028609
ethnic_hub,health education,hub_phrase,Ethnic Hub,31,0.02096
panethnic_hub,farm workers,hub_phrase,Panethnic Hub,37,0.024617
ethnic_hub,farm workers,hub_phrase,Ethnic Hub,37,0.025017
panethnic_hub,mental health,hub_phrase,Panethnic Hub,35,0.023287
ethnic_hub,mental health,hub_phrase,Ethnic Hub,37,0.025017
panethnic_hub,department labor,hub_phrase,Panethnic Hub,44,0.029275
ethnic_hub,department labor,hub_phrase,Ethnic Hub,21,0.014199
panethnic_hub,health care,hub_phrase,Panethnic Hub,32,0.021291
ethnic_hub,health care,hub_phrase,Ethnic Hub,31,0.02096
panethnic_hub,education welfare,hub_phrase,Panethnic Hub,36,0.023952
ethnic_hub,education welfare,hub_phrase,Ethnic Hub,26,0.017579
panethnic_hub,department health,hub_phrase,Panethnic Hub,35,0.023287
ethnic_hub,department health,hub_phrase,Ethnic Hub,27,0.018256
panethnic_hub,school district,hub_phrase,Panethnic Hub,21,0.013972
ethnic_hub,school district,hub_phrase,Ethnic Hub,40,0.027045
panethnic_hub,board directors,hub_phrase,Panethnic Hub,32,0.021291
ethnic_hub,board directors,hub_phrase,Ethnic Hub,29,0.019608
panethnic_hub,supreme court,hub_phrase,Panethnic Hub,22,0.014637
ethnic_hub,supreme court,hub_phrase,Ethnic Hub,38,0.025693
panethnic_hub,york city,hub_phrase,Panethnic Hub,36,0.023952
ethnic_hub,york city,hub_phrase,Ethnic Hub,24,0.016227
panethnic_hub,equal employment,hub_phrase,Panethnic Hub,41,0.027279
ethnic_hub,equal employment,hub_phrase,Ethnic Hub,18,0.01217
panethnic_hub,antonio texas,hub_phrase,Panethnic Hub,25,0.016633
ethnic_hub,antonio texas,hub_phrase,Ethnic Hub,32,0.021636
panethnic_hub,bilingual bicultural,hub_phrase,Panethnic Hub,27,0.017964
ethnic_hub,bilingual bicultural,hub_phrase,Ethnic Hub,29,0.019608
panethnic_hub,east angeles,hub_phrase,Panethnic Hub,19,0.012641
ethnic_hub,east angeles,hub_phrase,Ethnic Hub,35,0.023665
panethnic_hub,affirmative action,hub_phrase,Panethnic Hub,33,0.021956
ethnic_hub,affirmative action,hub_phrase,Ethnic Hub,20,0.013523
panethnic_hub,voting rights,hub_phrase,Panethnic Hub,33,0.021956
ethnic_hub,voting rights,hub_phrase,Ethnic Hub,20,0.013523
panethnic_hub,higher education,hub_phrase,Panethnic Hub,30,0.01996
ethnic_hub,higher education,hub_phrase,Ethnic Hub,23,0.015551
panethnic_hub,district court,hub_phrase,Panethnic Hub,25,0.016633
ethnic_hub,district court,hub_phrase,Ethnic Hub,28,0.018932
panethnic_hub,edward roybal,hub_phrase,Panethnic Hub,36,0.023952
ethnic_hub,edward roybal,hub_phrase,Ethnic Hub,16,0.010818
panethnic_hub,educational fund,hub_phrase,Panethnic Hub,21,0.013972
ethnic_hub,educational fund,hub_phrase,Ethnic Hub,31,0.02096
panethnic_hub,census bureau,hub_phrase,Panethnic Hub,30,0.01996
ethnic_hub,census bureau,hub_phrase,Ethnic Hub,22,0.014875
panethnic_hub,minority business,hub_phrase,Panethnic Hub,33,0.021956
ethnic_hub,minority business,hub_phrase,Ethnic Hub,18,0.01217
panethnic_hub,fund maldef,hub_phrase,Panethnic Hub,19,0.012641
ethnic_hub,fund maldef,hub_phrase,Ethnic Hub,32,0.021636
panethnic_hub,social economic,hub_phrase,Panethnic Hub,36,0.023952
ethnic_hub,social economic,hub_phrase,Ethnic Hub,14,0.009466
panethnic_hub,throughout country,hub_phrase,Panethnic Hub,37,0.024617
ethnic_hub,throughout country,hub_phrase,Ethnic Hub,12,0.008114
panethnic_hub,technical assistance,hub_phrase,Panethnic Hub,26,0.017299
ethnic_hub,technical assistance,hub_phrase,Ethnic Hub,23,0.015551
panethnic_hub,federal agencies,hub_phrase,Panethnic Hub,29,0.019295
ethnic_hub,federal agencies,hub_phrase,Ethnic Hub,19,0.012847
panethnic_hub,latin america,hub_phrase,Panethnic Hub,28,0.018629
ethnic_hub,latin america,hub_phrase,Ethnic Hub,19,0.012847
panethnic_hub,justice department,hub_phrase,Panethnic Hub,23,0.015303
ethnic_hub,justice department,hub_phrase,Ethnic Hub,24,0.016227
panethnic_hub,vice president,hub_phrase,Panethnic Hub,23,0.015303
ethnic_hub,vice president,hub_phrase,Ethnic Hub,24,0.016227
panethnic_hub,even though,hub_phrase,Panethnic Hub,19,0.012641
ethnic_hub,even though,hub_phrase,Ethnic Hub,26,0.017579
panethnic_hub,latin citizens,hub_phrase,Panethnic Hub,25,0.016633
ethnic_hub,latin citizens,hub_phrase,Ethnic Hub,20,0.013523
panethnic_hub,illegal aliens,hub_phrase,Panethnic Hub,16,0.010645
ethnic_hub,illegal aliens,hub_phrase,Ethnic Hub,27,0.018256
panethnic_hub,community development,hub_phrase,Panethnic Hub,22,0.014637
ethnic_hub,community development,hub_phrase,Ethnic Hub,21,0.014199
panethnic_hub,raul yzaguirre,hub_phrase,Panethnic Hub,22,0.014637
ethnic_hub,raul yzaguirre,hub_phrase,Ethnic Hub,21,0.014199
panethnic_hub,cabinet committee,hub_phrase,Panethnic Hub,30,0.01996
ethnic_hub,cabinet committee,hub_phrase,Ethnic Hub,12,0.008114
panethnic_hub,carter administration,hub_phrase,Panethnic Hub,29,0.019295
ethnic_hub,carter administration,hub_phrase,Ethnic Hub,12,0.008114
panethnic_hub,attorney general,hub_phrase,Panethnic Hub,25,0.016633
ethnic_hub,attorney general,hub_phrase,Ethnic Hub,16,0.010818
panethnic_hub,league latin,hub_phrase,Panethnic Hub,24,0.015968
ethnic_hub,league latin,hub_phrase,Ethnic Hub,17,0.011494
panethnic_hub,defense educational,hub_phrase,Panethnic Hub,16,0.010645
ethnic_hub,defense educational,hub_phrase,Ethnic Hub,24,0.016227
panethnic_hub,voter registration,hub_phrase,Panethnic Hub,22,0.014637
ethnic_hub,voter registration,hub_phrase,Ethnic Hub,18,0.01217
panethnic_hub,mass media,hub_phrase,Panethnic Hub,27,0.017964
ethnic_hub,mass media,hub_phrase,Ethnic Hub,12,0.008114
panethnic_hub,housing urban,hub_phrase,Panethnic Hub,24,0.015968
ethnic_hub,housing urban,hub_phrase,Ethnic Hub,15,0.010142
panethnic_hub,cali fornia,hub_phrase,Panethnic Hub,18,0.011976
ethnic_hub,cali fornia,hub_phrase,Ethnic Hub,21,0.014199
panethnic_hub,health services,hub_phrase,Panethnic Hub,19,0.012641
ethnic_hub,health services,hub_phrase,Ethnic Hub,20,0.013523
panethnic_hub,largest minority,hub_phrase,Panethnic Hub,28,0.018629
ethnic_hub,largest minority,hub_phrase,Ethnic Hub,10,0.006761
panethnic_hub,president carter,hub_phrase,Panethnic Hub,28,0.018629
ethnic_hub,president carter,hub_phrase,Ethnic Hub,10,0.006761
panethnic_hub,english language,hub_phrase,Panethnic Hub,25,0.016633
ethnic_hub,english language,hub_phrase,Ethnic Hub,13,0.00879
panethnic_hub,commission civil,hub_phrase,Panethnic Hub,19,0.012641
ethnic_hub,commission civil,hub_phrase,Ethnic Hub,19,0.012847
panethnic_hub,special assistant,hub_phrase,Panethnic Hub,28,0.018629
ethnic_hub,special assistant,hub_phrase,Ethnic Hub,9,0.006085
panethnic_hub,presi dent,hub_phrase,Panethnic Hub,25,0.016633
ethnic_hub,presi dent,hub_phrase,Ethnic Hub,12,0.008114
panethnic_hub,board member,hub_phrase,Panethnic Hub,14,0.009315
ethnic_hub,board member,hub_phrase,Ethnic Hub,23,0.015551
panethnic_hub,political power,hub_phrase,Panethnic Hub,22,0.014637
ethnic_hub,political power,hub_phrase,Ethnic Hub,15,0.010142
panethnic_hub,task force,hub_phrase,Panethnic Hub,19,0.012641
ethnic_hub,task force,hub_phrase,Ethnic Hub,18,0.01217
panethnic_hub,university california,hub_phrase,Panethnic Hub,11,0.007319
ethnic_hub,university california,hub_phrase,Ethnic Hub,25,0.016903
panethnic_hub,cesar chavez,hub_phrase,Panethnic Hub,12,0.007984
ethnic_hub,cesar chavez,hub_phrase,Ethnic Hub,24,0.016227
panethnic_hub,public schools,hub_phrase,Panethnic Hub,23,0.015303
ethnic_hub,public schools,hub_phrase,Ethnic Hub,13,0.00879
panethnic_hub,studies library,hub_phrase,Panethnic Hub,2,0.001331
ethnic_hub,studies library,hub_phrase,Ethnic Hub,33,0.022312
panethnic_hub,small business,hub_phrase,Panethnic Hub,24,0.015968
ethnic_hub,small business,hub_phrase,Ethnic Hub,11,0.007437
panethnic_hub,department justice,hub_phrase,Panethnic Hub,22,0.014637
ethnic_hub,department justice,hub_phrase,Ethnic Hub,13,0.00879
panethnic_hub,employment opportunity,hub_phrase,Panethnic Hub,25,0.016633
ethnic_hub,employment opportunity,hub_phrase,Ethnic Hub,9,0.006085
panethnic_hub,school board,hub_phrase,Panethnic Hub,10,0.006653
ethnic_hub,school board,hub_phrase,Ethnic Hub,24,0.016227
education welfare,health education,phrase_phrase,Phrase-Phrase,39,
educational fund,legal defense,phrase_phrase,Phrase-Phrase,27,
department health,health education,phrase_phrase,Phrase-Phrase,27,
fund maldef,legal defense,phrase_phrase,Phrase-Phrase,27,
employment opportunity,equal employment,phrase_phrase,Phrase-Phrase,25,
latin citizens,league latin,phrase_phrase,Phrase-Phrase,24,
civil rights,commission civil,phrase_phrase,Phrase-Phrase,24,
defense educational,educational fund,phrase_phrase,Phrase-Phrase,23,
department health,education welfare,phrase_phrase,Phrase-Phrase,23,
defense educational,legal defense,phrase_phrase,Phrase-Phrase,22,
educational fund,fund maldef,phrase_phrase,Phrase-Phrase,17,
civil rights,justice department,phrase_phrase,Phrase-Phrase,15,
civil rights,legal defense,phrase_phrase,Phrase-Phrase,15,
civil rights,supreme court,phrase_phrase,Phrase-Phrase,15,
bilingual education,civil rights,phrase_phrase,Phrase-Phrase,15,
civil rights,voting rights,phrase_phrase,Phrase-Phrase,15,
bilingual education,english language,phrase_phrase,Phrase-Phrase,13,
civil rights,educational fund,phrase_phrase,Phrase-Phrase,13,
defense educational,fund maldef,phrase_phrase,Phrase-Phrase,13,
justice department,voting rights,phrase_phrase,Phrase-Phrase,12,
president carter,white house,phrase_phrase,Phrase-Phrase,12,
legal defense,supreme court,phrase_phrase,Phrase-Phrase,11,
health services,mental health,phrase_phrase,Phrase-Phrase,11,
affirmative action,equal employment,phrase_phrase,Phrase-Phrase,11,
civil rights,district court,phrase_phrase,Phrase-Phrase,11,
bilingual education,school district,phrase_phrase,Phrase-Phrase,11,
cesar chavez,farm workers,phrase_phrase,Phrase-Phrase,11,
civil rights,department health,phrase_phrase,Phrase-Phrase,11,
attorney general,justice department,phrase_phrase,Phrase-Phrase,11,
school district,supreme court,phrase_phrase,Phrase-Phrase,10,
district court,supreme court,phrase_phrase,Phrase-Phrase,10,
civil rights,education welfare,phrase_phrase,Phrase-Phrase,10,
civil rights,federal agencies,phrase_phrase,Phrase-Phrase,10,
civil rights,health education,phrase_phrase,Phrase-Phrase,10,
civil rights,equal employment,phrase_phrase,Phrase-Phrase,10,
board directors,executive director,phrase_phrase,Phrase-Phrase,9,
economic development,technical assistance,phrase_phrase,Phrase-Phrase,9,
school board,school district,phrase_phrase,Phrase-Phrase,9,
civil rights,school district,phrase_phrase,Phrase-Phrase,9,
minority business,small business,phrase_phrase,Phrase-Phrase,9,
civil rights,defense educational,phrase_phrase,Phrase-Phrase,9,
health care,mental health,phrase_phrase,Phrase-Phrase,9,
bilingual bicultural,bilingual education,phrase_phrase,Phrase-Phrase,9,
studies library,university california,phrase_phrase,Phrase-Phrase,9,
community development,economic development,phrase_phrase,Phrase-Phrase,9,
attorney general,civil rights,phrase_phrase,Phrase-Phrase,9,
civil rights,high school,phrase_phrase,Phrase-Phrase,8,
economic development,small business,phrase_phrase,Phrase-Phrase,8,
east angeles,executive director,phrase_phrase,Phrase-Phrase,8,
district court,legal defense,phrase_phrase,Phrase-Phrase,8,
board directors,civil rights,phrase_phrase,Phrase-Phrase,8,
affirmative action,civil rights,phrase_phrase,Phrase-Phrase,8,
justice department,legal defense,phrase_phrase,Phrase-Phrase,8,
bilingual education,high school,phrase_phrase,Phrase-Phrase,8,
civil rights,department justice,phrase_phrase,Phrase-Phrase,8,
health education,housing urban,phrase_phrase,Phrase-Phrase,7,
health care,health services,phrase_phrase,Phrase-Phrase,7,
district court,school district,phrase_phrase,Phrase-Phrase,7,
civil rights,fund maldef,phrase_phrase,Phrase-Phrase,7,
bilingual education,public schools,phrase_phrase,Phrase-Phrase,7,
educational fund,supreme court,phrase_phrase,Phrase-Phrase,7,
bilingual education,health education,phrase_phrase,Phrase-Phrase,7,
edward roybal,white house,phrase_phrase,Phrase-Phrase,7,
equal employment,health education,phrase_phrase,Phrase-Phrase,7,
executive director,voter registration,phrase_phrase,Phrase-Phrase,7,
voter registration,voting rights,phrase_phrase,Phrase-Phrase,7,
civil rights,illegal aliens,phrase_phrase,Phrase-Phrase,7,
attorney general,legal defense,phrase_phrase,Phrase-Phrase,7,
special assistant,white house,phrase_phrase,Phrase-Phrase,7,
affirmative action,employment opportunity,phrase_phrase,Phrase-Phrase,7,
department justice,justice department,phrase_phrase,Phrase-Phrase,7,
economic development,executive director,phrase_phrase,Phrase-Phrase,6,
public schools,school district,phrase_phrase,Phrase-Phrase,6,
high school,school district,phrase_phrase,Phrase-Phrase,6,
cabinet committee,white house,phrase_phrase,Phrase-Phrase,6,
education welfare,federal agencies,phrase_phrase,Phrase-Phrase,6,
civil rights,employment opportunity,phrase_phrase,Phrase-Phrase,6,
executive director,vice president,phrase_phrase,Phrase-Phrase,6,
board directors,department labor,phrase_phrase,Phrase-Phrase,6,
minority business,technical assistance,phrase_phrase,Phrase-Phrase,6,
board member,civil rights,phrase_phrase,Phrase-Phrase,6,
east angeles,legal defense,phrase_phrase,Phrase-Phrase,6,
civil rights,technical assistance,phrase_phrase,Phrase-Phrase,6,
district court,fund maldef,phrase_phrase,Phrase-Phrase,6,
civil rights,latin citizens,phrase_phrase,Phrase-Phrase,6,
economic development,minority business,phrase_phrase,Phrase-Phrase,6,
civil rights,task force,phrase_phrase,Phrase-Phrase,6,
bilingual education,department health,phrase_phrase,Phrase-Phrase,6,
civil rights,department labor,phrase_phrase,Phrase-Phrase,6,
department health,department labor,phrase_phrase,Phrase-Phrase,6,
bilingual bicultural,civil rights,phrase_phrase,Phrase-Phrase,6,
community development,housing urban,phrase_phrase,Phrase-Phrase,6,
education welfare,housing urban,phrase_phrase,Phrase-Phrase,6,
civil rights,special assistant,phrase_phrase,Phrase-Phrase,6,
attorney general,voting rights,phrase_phrase,Phrase-Phrase,6,
legal defense,voting rights,phrase_phrase,Phrase-Phrase,6,
department justice,voting rights,phrase_phrase,Phrase-Phrase,6,
civil rights,public schools,phrase_phrase,Phrase-Phrase,6,
civil rights,white house,phrase_phrase,Phrase-Phrase,6,
antonio texas,board directors,phrase_phrase,Phrase-Phrase,5,
board directors,vice president,phrase_phrase,Phrase-Phrase,5,
legal defense,white house,phrase_phrase,Phrase-Phrase,5,
bilingual education,white house,phrase_phrase,Phrase-Phrase,5,
board directors,east angeles,phrase_phrase,Phrase-Phrase,5,
cabinet committee,federal agencies,phrase_phrase,Phrase-Phrase,5,
federal agencies,white house,phrase_phrase,Phrase-Phrase,5,
federal agencies,health education,phrase_phrase,Phrase-Phrase,5,
department labor,executive director,phrase_phrase,Phrase-Phrase,5,
economic development,vice president,phrase_phrase,Phrase-Phrase,5,
bilingual bicultural,technical assistance,phrase_phrase,Phrase-Phrase,5,
department labor,education welfare,phrase_phrase,Phrase-Phrase,5,
department labor,health education,phrase_phrase,Phrase-Phrase,5,
executive director,legal defense,phrase_phrase,Phrase-Phrase,5,
defense educational,supreme court,phrase_phrase,Phrase-Phrase,5,
civil rights,farm workers,phrase_phrase,Phrase-Phrase,5,
board member,east angeles,phrase_phrase,Phrase-Phrase,5,
civil rights,east angeles,phrase_phrase,Phrase-Phrase,5,
equal employment,latin citizens,phrase_phrase,Phrase-Phrase,5,
equal employment,league latin,phrase_phrase,Phrase-Phrase,5,
equal employment,white house,phrase_phrase,Phrase-Phrase,5,
economic development,raul yzaguirre,phrase_phrase,Phrase-Phrase,5,
civil rights,health care,phrase_phrase,Phrase-Phrase,5,
department health,health care,phrase_phrase,Phrase-Phrase,5,
health education,school district,phrase_phrase,Phrase-Phrase,5,
education welfare,special assistant,phrase_phrase,Phrase-Phrase,5,
health education,special assistant,phrase_phrase,Phrase-Phrase,5,
civil rights,executive director,phrase_phrase,Phrase-Phrase,5,
census bureau,largest minority,phrase_phrase,Phrase-Phrase,5,
census bureau,civil rights,phrase_phrase,Phrase-Phrase,5,
civil rights,housing urban,phrase_phrase,Phrase-Phrase,5,
latin citizens,raul yzaguirre,phrase_phrase,Phrase-Phrase,5,
education welfare,health services,phrase_phrase,Phrase-Phrase,5,
education welfare,legal defense,phrase_phrase,Phrase-Phrase,5,
health education,health services,phrase_phrase,Phrase-Phrase,5,
department health,health services,phrase_phrase,Phrase-Phrase,5,
education welfare,equal employment,phrase_phrase,Phrase-Phrase,5,
attorney general,education welfare,phrase_phrase,Phrase-Phrase,5,
attorney general,health education,phrase_phrase,Phrase-Phrase,5,
attorney general,white house,phrase_phrase,Phrase-Phrase,5,
presi dent,white house,phrase_phrase,Phrase-Phrase,5,
